Kode_Bahan,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
DP017,"Taoge, goreng",D,P,79.2,88,3.2,2.1,14,0.7,0.168,0.05,0.0057,0,0,0,0.0001,0,0
DP018,"Taoge, seduh",D,P,91.9,28,3,0.8,4,1,0.052,0.073,0.0005,0.018,0.0583,0.0002,0.0001,0,0.002
DP019,"Terung panjang, kukus",D,P,92.7,23,1.8,0.1,4.9,0.4,0.04,0.013,0.0005,0.009,0.057,0.0671,0,0.0001,0.001
DP020,"Wortel, rebus",D,P,92.1,28,0.7,0.5,6.3,0.8,0.046,0.028,0.0006,0.041,0.1173,0.0001,0,0,0.012
DP021,"Wortel, kukus",D,P,89.5,37,1,0.6,8.3,1.1,0.044,0.03,0.0006,0.043,0.1225,0.0001,0,0,0.014
DP022,"Asinan Bogor, sayuran",D,P,78,98,3.9,2.6,14.8,0.5,0.314,0.017,0.0012,0.483,0,0,0.0003,0,0.005
DP023,"Anyang, sayur",D,P,76.9,126,3.4,7.9,10.3,5.4,0.18,0.001,0.0029,0.29,0.181,0.0003,0.0002,0,0
DP024,"Ares, sayur",D,P,77.7,113,0.9,7.2,11.2,4.7,0.063,0.005,0.0015,1.413,1.03,0.0007,0.0001,0,0
DP025,Arwan sirsir,D,P,59,277,2.4,25,10.7,4.6,0.12,0.04,0.0024,0.24,0.32,0.0002,0.0001,0.0002,0.011
DP026,Beberuk,D,P,89.1,65,1.1,5.2,3.5,3.1,0.179,0.072,0.0083,0.053,0.427,0.0004,0.0003,0,0
DP027,Botok lamtoro,D,P,63.9,186,11.7,9.7,13,2.1,0.771,0.322,0.026,0,0,0,0.0003,0,0.002
DP028,Buntil daun talas,D,P,74.5,141,4.4,10.2,8,1.8,0.149,0.121,0.0145,0,0,0,0.0003,0,0.001
DP029,Cammetutu,D,P,79.6,102,3.2,6,8.7,4.3,0.041,0.093,0.0005,0.443,0.518,0.0003,0.0003,0.0004,0.019
DP030,"Cap cai, sayur",D,P,82.7,97,5.8,6.3,4.2,0.6,0.287,0.089,0.0018,0.405,0,0,0.0002,0,0.001
DP031,Gado-gado,D,P,68.5,137,6.1,3.2,21,1.1,0.301,0.135,0.0075,0,0,0,0.0001,0,0.001
DP032,"Gudeg, sayur",D,P,69.2,160,3.3,9.2,16,2.3,0.062,0.055,0.0128,0,0,0,0.0002,0,0
DP033,Gulai pakis,D,P,76.1,143,4,11.4,6,1.4,0.548,0.124,0.0017,0,0,0,0.0004,0,0.001
DP034,Gulai pliek,D,P,71.9,176,7.3,14.9,3.2,0,0.039,0.054,0.0014,0.257,0.285,0.0003,0,0,0
DP035,Kadada katembe,D,P,80,110,4.5,6.9,7.1,3.9,0.026,0.077,0,0.178,0.131,0.0002,0.0001,0,0.023
DP036,"Kaparende, sayur",D,P,91.7,38,2.4,2,2.6,1.5,0.126,0.068,0,0.17,0.043,0,0.0001,0,0.022
DP037,"Karedok, sayur",D,P,79,92,2.2,3.3,14.1,1.4,0.174,0.085,0.0024,0,0,0,0.0001,0,0.003
DP038,Keripik bayam,D,P,2.3,586,4.9,40.6,50.2,0.5,0.236,0.117,0.0036,0,0,0,0.0002,0,0
DP039,Kotiu hinela tawang nggole,D,P,88.4,46,2.2,1.5,6,3.8,0.064,0.044,0,0.316,0.103,0.0016,0.0003,0,0.007
DP040,Lema/ Rebung asam,D,P,96.3,15,1,0.4,1.9,0,0.017,0.23,0.0029,0.003,0.156,0.0001,0.0003,0,0
DP041,Lilin bungkus gedi,D,P,84.8,79,2.3,5.2,5.8,2.5,0.17,0.07,0.0009,0.17,0.05,0.0002,0.0002,0.0001,0.018
DP042,Olah-olah,D,P,83.9,9,2.1,6,7.1,4.4,0.026,0.003,0.0012,0.289,0.266,0.0003,0.0002,0.0001,0
DP043,Paku hinela wulelenggapaya,D,P,83.4,77,3.5,4.6,5.4,3.6,0.063,0.085,0,0.469,0.037,0.0003,0.0008,0.0001,0.004
DP044,Pelecing kangkung,D,P,83.8,75,2.5,2.8,10,5.4,0.036,0.003,0.0021,0.408,0.381,0.0001,0.0007,0,0.012
DP045,Purundawa,D,P,91.8,25,1.5,0.5,3.6,1.7,0.147,0.039,0,0.239,0.201,0.0001,0.0001,0.0001,0.002
DP046,Rujak cingur,D,P,70.1,153,11.3,8.4,8,1.4,0.256,0.143,0.0044,0,0,0,0.0002,0,0.002
DP047,Sayur asem,D,P,93.2,29,0.7,0.6,5,0.6,0.04,0.061,0.0031,0,0,0,0.0001,0,0
DP048,Sayur bunga pepaya,D,P,83.4,49,1.7,0.3,9.8,2.7,0.22,0.22,0.0013,0.09,0.35,0.0001,0,0.0001,0
DP049,Sayur garu,D,P,70.8,178,2.6,13.9,10.6,8.4,0.03,0.13,0.0009,0.02,0.12,0.0001,0.0002,0.0001,0.009
DP050,Sayur kohu-kohu,D,P,72.8,133,7.3,6.6,11.2,1.2,0.04,0.12,0.0002,0.02,0.05,0.0001,0.0002,0.0002,0.009
DP051,Sayur lilin-terubuk,D,P,90.4,36,2.7,0.7,4.8,1.4,0.01,0.09,0.0001,0.03,0.044,0.0002,0.0003,0.0002,0.018
DP052,Sayur ndusuk,D,P,87.5,49,3.1,2.5,3.6,0,0.011,0.006,0.0005,1.011,0.088,0,0.0002,0.0001,0.015
DP053,Sayur sop,D,P,92.7,27,1.3,2,1,0.3,0.168,0.057,0.0018,0,0,0,0.0001,0,0
DP054,Sayur umbut kelapa,D,P,85.5,67,5.2,2.9,5.1,1.4,0.048,0.081,0.0032,0.313,0.108,0.0002,0.0002,0,0.005
DP055,Sayur umbut rotan,D,P,87.6,57,5.4,2.6,3.1,1.6,0.184,0.135,0.0012,0.256,0.081,0.0002,0.0002,0,0.006
DP056,Shabu-shabu,D,P,87.1,88,3.2,8,0.8,0.9,0.217,0.048,0.0029,0.514,0,0,0.0002,0,0
DP057,Semur jengkol,D,P,52.7,212,6,10,29.1,0,0.077,0.099,0.001,0,0,0,0.0001,0,0.004
DP058,Tinira ninahu nggaluku,D,P,91.8,33,1.2,1.3,4.1,3.1,0.035,0.035,0,0.161,0.119,0.0002,0.0003,0,0.01
DP059,Tumis bayam bersantan,D,P,91.2,48,1.4,4.2,2.6,0.5,0.129,0.027,0.0008,0,0,0,0,0,0.022
DP060,Waluh balamak,D,P,89.4,45,0.8,0.9,8.1,7.9,0.025,0.025,0.0005,0.061,0.015,0,0.0002,0,0.002
DP061,Woku ubi,D,P,73,143,3.1,7.8,15,7,0.195,0.091,0.0028,0.353,0.256,0.0003,0.0001,0,0.015
ER001,"Alpukat, segar",E,R,84.3,85,0.9,6.5,7.7,0,0.01,0.02,0.0009,0.002,0.278,0.0002,0.0001,0.0001,0.013
ER002,"Anggur hutan, segar",E,R,92.3,30,0.5,0.2,6.8,1.2,0.039,0.012,0.0011,0,0,0,0,0,0.003
ER003,"Apel malang, segar",E,R,85.9,57,0.5,0.4,12.8,0.8,0.009,0.018,0.0006,0.0036,0.1754,0.1102,0.0001,0,0.005
ER004,"Apel, segar",E,R,84.1,58,0.3,0.4,14.9,2.6,0.006,0.01,0.0003,0.002,0.13,0.1242,0,0,0.005
ER005,"Arbai, segar",E,R,89.9,37,0.8,0.5,8.3,0,0.028,0.027,0.0008,0.002,0.043,0.0635,0,0,0.06
ER006,"Belimbing, segar",E,R,90,36,0.4,0.4,8.8,3.2,0.004,0.012,0.0011,0.004,0.13,0,0,0,0.035
ER007,"Biwah, segar",E,R,87.1,51,0.3,0.1,12.1,0.7,0.22,0.014,0.0008,0.001,0.2586,0,0.0001,0,0.004
ER008,"Buah atung, segar",E,R,92,23,0.8,0.2,5.2,0,0.03,0.05,0.0046,0,0,0,0.0003,0,0.038
ER009,"Buah kelenting, segar",E,R,73.9,110,1.4,2.1,21.4,0,0.008,0.102,0.0011,0.002,0,0.0003,0.0002,0.0001,0.006
ER010,"Buah kom, segar",E,R,33.7,264,4,1.1,59.6,9,0.306,0.092,0.0008,0,0,0,0.0001,0,0.009
ER011,"Buah mentega (Bisbul), segar",E,R,89,39,0.7,0.2,9.7,2,0.043,0.017,0.0008,0.001,0.09,0.0001,0,0,0.033
ER012,"Buah Naga Merah, segar",E,R,85.7,71,1.7,3.1,9.1,3.2,0.013,0.014,0.0004,0.01,0.128,0,0.0005,0.0003,0.001
ER013,"Buah Naga Putih, segar",E,R,86.6,56,0.8,1,10.9,3.2,0.013,0.027,0.0005,0.007,0.231,0,0,0.0005,0.001
ER014,"Buah negri, segar",E,R,85.7,55,1.2,0.1,12.2,5.2,0.03,0.04,0.0002,0.01,0,0.0001,0.0003,0,0.009
ER015,"Buah nona, segar",E,R,71.5,101,1.7,0.6,25.2,2.8,0.027,0.02,0.0008,0.005,0.3125,0.3257,0.0001,0.0002,0.022
ER016,"Buah rotan, segar",E,R,79.4,78,0.6,0.3,18.2,0,0.001,0.007,0.0034,0.007,0.495,0.0003,0.0001,0,0.005
ER017,"Buah rukam, segar",E,R,71.3,113,0.8,0.3,26.8,7.7,0.108,0.052,0.0012,0.002,0.219,0.0003,0.0001,0,0.02
ER018,"Buah ruruhi, segar",E,R,93,29,2.1,0.7,3.6,2.6,0.006,0.007,0,0.036,0.045,0,0.0001,0,0.01
ER019,"Buah tuppa, segar",E,R,82.5,67,0.4,0.2,15.9,0,0.012,0.139,0.0005,0.002,0,0.0002,0,0,0.005
ER020,"Carica papaya, segar",E,R,93.4,24,1.9,0.2,3.7,1,0.051,0.033,0.0018,0,0,0,0.0003,0.0001,0.085
ER021,"Cempedak, segar",E,R,67,116,3,0.4,28.6,3.4,0.02,0.03,0.0015,0.025,0.2437,0,0,0,0.015
ER022,"Duku, segar",E,R,82,63,1,0.2,16.1,4.3,0.018,0.009,0.0009,0.002,0.149,0.0001,0.0001,0.0002,0.009
ER023,"Durian, segar",E,R,65,134,2.5,3,28,3.5,0.007,0.044,0.0013,0.001,0.601,0.0001,0.0001,0.0002,0.053
ER024,"Duwet, segar",E,R,80.2,80,0.5,0.6,18.2,0.9,0.033,0.138,0.0013,0.016,0.0927,0.1913,0,0,0.013
ER025,"Embacang, segar",E,R,72.5,98,1.4,0.2,25.4,1.9,0.021,0.015,0.0005,0.003,0.2509,0.0001,0,0.0001,0.056
ER026,"Encung asam, segar",E,R,73,122,3.5,4.5,17.5,9.3,0.063,0.069,0.0032,0,0,0,0,0,0
ER027,"Erbis, segar",E,R,80,70,0.6,0,18.9,7.7,0.011,0.05,0.0011,0.021,0.2571,0.0001,0,0.0001,0.016
ER028,Gandaria masak,E,R,80.8,68,0.7,0.1,18,2.2,0.009,0.02,0.001,0.003,0.129,0,0,0.0001,0.011
ER029,"Gatep, segar",E,R,52.7,191,4.5,1.5,39.7,13.4,0.186,0.069,0.0032,0.017,0.4033,0.0007,0.0001,0.0002,0
ER030,"Jambu air, segar",E,R,87,46,0.6,0.2,11.8,2.1,0.008,0.009,0.0011,0.011,0.3212,0,0,0.0004,0.005
ER031,Jambu biji,E,R,86,49,0.9,0.3,12.2,2.4,0.014,0.028,0.0011,0.01,0.0528,0,0,0,0.087
ER032,Jambu putih tdk berbiji,E,R,82.8,61,0.9,0.3,15.4,4.5,0.031,0.041,0.0002,0.02,0.103,0,0.001,0.0001,0.011
ER033,"Jambu bol, segar",E,R,87.1,49,2.3,0.2,9.6,3.5,0.008,0.008,0.0003,0.001,0.014,0,0.0001,0,0.022
ER034,"Jambu monyet, segar",E,R,82.6,64,0.7,0.6,15.8,1.2,0.004,0.013,0.0005,0.012,0.1078,0,0,0,0.019
ER035,"Jeruk bali, segar",E,R,86.3,48,0.6,0.2,12.4,0.8,0.023,0.027,0.0005,0.021,0.3661,0.1713,0,0,0.043
ER036,"Jeruk banjar, segar",E,R,84.5,61,0.8,0.2,14.1,5.4,0.009,0.013,0.0002,0.003,0.079,0.0001,0.0001,0,0.031
ER037,Jeruk garut-keprok,E,R,87.3,44,0.8,0.3,10.9,1.6,0.033,0.023,0.0004,0.005,0.5181,0.1693,0.0001,0,0.031
ER038,"Jeruk Kalamansi, segar",E,R,90.2,39,0.3,0.3,8.9,2.3,0.042,0.085,0.0005,0.003,0.082,0.0003,0,0.0001,0.03
ER039,"Jeruk manis, segar",E,R,87.2,45,0.9,0.2,11.2,1.4,0.033,0.023,0.0004,0.004,0.4721,0.16,0.0001,0,0.049
ER040,"Jeruk nipis, segar",E,R,88.9,44,0.5,0.2,10,0.4,0.018,0.022,0.0002,0.003,0.1089,0.0001,0,0,0.02
ER041,"Jeruk ragi, segar",E,R,87.6,49,0.7,0.2,11.1,0.5,0.036,0.067,0.0007,0.004,0.4573,0.155,0,0,0.03
ER042,"Kawista, segar",E,R,71.8,120,3.5,2.5,20.8,4.6,0.19,0.23,0.0016,0.009,1.0156,0.3084,0.0001,0.0001,0.003
ER043,"Kedondong masak, segar",E,R,88,46,1,0.1,10.3,2.6,0.015,0.022,0.0028,0.002,0.2162,0,0.0001,0.0002,0.03
ER044,"Kedondong, segar",E,R,87.8,47,0.5,0.2,10.4,2.7,0.007,0.058,0.0008,0.002,0,0,0.0001,0,0.032
ER045,"Kelapa hutan, kering",E,R,6,623,2,52,36.5,15.3,0.12,0.28,0.0038,0.1,0.46,0.0017,0,0,0
ER046,"Kelapa muda, daging, segar",E,R,83.3,68,1,0.9,14,0,0.007,0.03,0.001,0.0179,0.5646,0.0001,0.0001,0,0.004
ER047,"Kemang, segar",E,R,86.5,48,1,0.2,11.9,1.7,0.01,0.024,0.0001,0.002,0.0886,0,0.0001,0,0.058
ER048,"Kesemek, segar",E,R,78.2,78,0.8,0.4,20,0.6,0.006,0.026,0.0003,0,0.0345,0.0001,0.0001,0,0.011
ER049,"Kokosan, segar",E,R,85,86,1.6,0.2,13,1.4,0.022,0.038,0.0013,0.002,0.1183,0.0001,0,0,0.003
ER050,"Kranji, segar",E,R,20.1,315,2.1,1.4,73.5,3.6,0.16,0.12,0.0037,0,0,0,0,0,0
ER051,"Langsat, segar",E,R,84.1,56,0.9,0.2,14.3,1.4,0.017,0.024,0.0011,0.001,0.232,0.0001,0.0001,0,0.009
ER052,"Lemon, segar",E,R,92.2,34,0.5,0.8,6.2,0.1,0.023,0.02,0.0003,0.031,0.14,0.0001,0.0001,0.0001,0.05
ER053,"Lontar, segar",E,R,93,27,0.4,0.2,6,1.6,0.091,0.243,0.0005,0,0,0,0,0,0
ER054,"Mangga, segar",E,R,86.6,52,0.7,0,12.3,1.6,0.02,0.016,0.001,0.003,0.14,0.0003,0,0,0.012
ER055,"Mangga benggala, segar",E,R,84.4,63,2.4,0.4,12.4,5.8,0.009,0.013,0.0002,0.003,0.079,0.0001,0.0002,0,0.043
ER056,"Mangga gedung, segar",E,R,87.4,44,0.7,0.2,11.2,1.6,0.013,0.01,0.0002,0.002,0.0836,0,0.0001,0,0.03
ER057,"Mangga golek, segar",E,R,82.2,63,0.5,0.2,16.7,2.3,0.014,0.01,0.0007,0.003,0.1181,0.0001,0.0001,0,0.065
ER058,"Mangga harumanis, segar",E,R,86.6,46,0.4,0.2,11.9,1.7,0.015,0.009,0.0002,0.002,0.0889,0,0.0001,0,0.006
ER059,"Mangga indramayu, segar",E,R,80.2,72,0.8,0.2,18.7,2.5,0.013,0.01,0.0019,0.003,0.1314,0.0001,0.0001,0,0.016
ER060,"Mangga kopek, segar",E,R,84.5,56,0.4,0.2,14.6,2,0.016,0.01,0.0017,0.002,0.1029,0,0,0,0.027
ER061,"Mangga kwini, segar",E,R,78.6,86,0.7,0.5,19.8,6.5,0.011,0.011,0.0002,0.001,0.016,0.0001,0.0002,0,0.018
ER062,"Mangga manalagi, segar",E,R,66.5,133,1,0.1,32.1,11.8,0.02,0.023,0.001,0.07,0.161,0,0.0001,0,0.061
ER063,"Mangga muda, segar",E,R,83.7,59,0.5,0.4,15.1,0,0.012,0.011,0.0004,0.002,0.1082,0.0001,0.0001,0,0.002
ER064,"Manggis, segar",E,R,83,63,0.6,0.6,15.6,1.5,0.008,0.012,0.0008,0.01,0.0619,0.0001,0,0,0.005
ER065,"Markisa, segar",E,R,64.7,144,3.5,1.2,29.8,11.4,0.027,0.203,0.0014,0.037,0.4538,0.0001,0,0.0002,0.01
ER066,"Matoa, segar",E,R,76.5,90,1.2,0.1,21.1,0.5,0.02,0.04,0.0006,0.01,0.19,0.0003,0.0002,0.0001,0.054
ER067,"Melon, segar",E,R,90.8,37,0.6,0.4,7.8,1,0.012,0.014,0.0004,0.027,0.167,0.0003,0,0.0001,0
ER068,"Menteng, segar",E,R,79,65,1.7,0.3,16.1,0,0.013,0.02,0.0008,0,0,0,0,0,0
ER069,"Nanas palembang, segar",E,R,85.5,58,0.7,0.2,13.3,1.6,0.029,0.015,0.0006,0.007,0.117,0,0.0003,0,0.011
ER070,"Nanas, segar",E,R,88.9,40,0.6,0.3,9.9,0.6,0.022,0.014,0.0009,0.018,0.111,0,0,0,0.022
ER071,"Nangka masak pohon, segar",E,R,70,106,1.2,0.3,27.6,3.7,0.02,0.019,0.0009,0.002,0.407,0.2466,0.0001,0.0001,0.007
ER072,"Pala, daging, segar",E,R,88.1,42,0.3,0.2,10.9,0.5,0.032,0.024,0.0015,0,0,0,0,0,0.022
ER073,"Pepaya, segar",E,R,86.7,46,0.5,12,12.2,1.6,0.023,0.012,0.0017,0.004,0.221,0,0,0.0001,0.078
ER074,"Pisang ambon, segar",E,R,72.9,108,1,0.8,24.3,1.9,0.02,0.03,0.0002,0.01,0,0.0002,0.0001,0.0001,0.009
ER075,"Pisang angleng (pisang ampyang), segar",E,R,80.3,68,1.3,0.2,17.2,0.8,0.01,0.026,0.0006,0.023,0.2157,0,0.0001,0.0001,0.006
ER076,"Pisang ayam, segar",E,R,71.2,120,1.1,0.2,26.8,4.1,0.02,0.061,0.0004,0.006,0.392,0.0001,0.0001,0,0.026
ER077,"Pisang gapi, segar",E,R,66.3,131,1.6,0.1,31.1,11.7,0.058,0.04,0.0003,0.006,0.392,0.0001,0.0002,0,0.013
ER078,"Pisang goroho, segar",E,R,69.4,119,1.5,0.2,27.9,4.6,0.002,0.03,0.0002,0.036,0.359,0.0001,0.0002,0,0.01
ER079,"Pisang hijau, segar",E,R,68.9,121,1,0.1,28.9,0.4,0.009,0.037,0.0009,0.031,0.5294,0.0003,0.0001,0.0001,0.013
ER080,"Pisang kayu, segar",E,R,74.4,100,1.4,0.5,23.6,2.6,0.015,0,0.0001,0.001,0.493,0.0001,0.0001,0,0.011
ER081,"Pisang kepok, segar",E,R,71.9,109,0.8,0.5,26.3,5.7,0.01,0.03,0.0005,0.01,0.3,0.0001,0.0001,0,0.009
ER082,"Pisang ketip, segar",E,R,63.4,145,1.1,0.3,34.5,6.6,0.005,0.054,0.0001,0.004,0.726,0.0002,0.0001,0,0.095
ER083,"Pisang kidang, segar",E,R,75.4,96,1,0.2,22.5,0.6,0.087,0.173,0.0006,0.006,0.4188,0.0002,0,0.0001,0.002
ER084,"Pisang lampung, segar",E,R,72.1,99,1.3,0.2,25.6,4.3,0.01,0.019,0.0009,0.028,0.475,0.0003,0.0001,0.0001,0.004
ER085,"Pisang mas bali ampenan, segar",E,R,76.8,92,1.4,0.2,21,3.7,0.007,0.029,0.0012,0.032,0.272,0.0002,0.0001,0,0.011
ER086,"Pisang mas bali kopang, segar",E,R,64.2,127,1.4,0.2,31.8,3.7,0.01,0,0.0001,0.043,0.616,0.0001,0.0002,0.0001,0.017
ER087,"Pisang mas, segar",E,R,64.2,127,1.4,0.2,33.6,1.4,0.007,0.025,0.0008,0.042,0.392,0.1958,0.0001,0.0001,0.002
ER088,"Pisang raja sereh, segar",E,R,69.3,108,1.3,0.3,28.2,0.7,0.016,0.038,0.0001,0.031,0.5226,0.0003,0,0.0001,0.002
ER089,"Pisang raja, segar",E,R,65.8,120,1.2,0.2,31.8,5.3,0.01,0.022,0.0008,0.035,0.5822,0.0003,0.0001,0.0001,0.01
ER090,"Pisang rotan, segar",E,R,76.1,98,1.3,1.2,20.5,1,0.017,0.051,0.0011,0.024,0.4069,0.0002,0,0.0001,0.002
ER091,"Pisang talas, segar",E,R,71,113,1.2,0.2,26.7,4.4,0.022,0.022,0.0006,0.029,0.048,0.0003,0.0001,0,0.009
ER092,Pisang tujuh bulan,E,R,75.9,94,0.6,0.2,22.5,3.7,0.05,0.02,0.0002,0,0.004,0.0001,0,0,0.006
ER093,"Pisang ua, segar",E,R,67.8,128,0.8,0.5,30.2,8.1,0.012,0.028,0.0007,0.033,0.382,0.0002,0.0001,0,0.004
ER094,"Pisang uli, segar",E,R,61.8,134,1.1,0.5,35.5,1.4,0.031,0.053,0.0009,0.039,0.6503,0.0003,0.0001,0.0002,0.003
ER095,"Purut, segar",E,R,81.1,76,4.1,1.1,15.2,1.7,0.03,0.076,0.0006,0.01,0.2852,0,0,0.0001,0
ER096,"Rambutan binjai, segar",E,R,81,76,0.5,0.2,18,3.8,0.015,0.022,0.0012,0.022,0.12,0.0002,0.0002,0,0.013
ER097,"Rambutan, segar",E,R,80.5,69,0.9,0.1,18.1,0.8,0.016,0.016,0.0005,0.016,0.1042,0.0002,0,0.0001,0.058
ER098,"Salak bali, segar",E,R,85.1,57,0.5,0.1,13.6,1.3,0.094,0.025,0.0021,0,0,0.0001,0,0,0
ER099,"Salak medan, segar",E,R,78.1,55,0.4,0.2,12.8,3.2,0.006,0.046,0.0005,0.039,0.113,0.0002,0,0,0.058
ER100,"Salak pondoh, segar",E,R,77.9,87,0.8,0.4,20.1,0,0.038,0.031,0.0039,0,0,0.0001,0,0.0001,0.008
ER101,"Salak, segar",E,R,78,77,0.4,0,20.9,0,0.028,0.018,0.0042,0,0,0.0001,0,0,0.002
ER102,"Sawo duren, segar",E,R,87.3,64,1,3.1,8,0.8,0.018,0.045,0.0008,0.013,0.1114,0,0,0,0.001
ER103,"Sawo kecik, segar",E,R,73.8,111,0.9,2.3,21.6,1,0.02,0.185,0.0007,0.028,0.1178,0,0,0,0.019
ER104,"Sawo Manila, segar",E,R,75.5,92,0.5,1.1,22.4,9.5,0.025,0.012,0.001,0.026,0.1102,0,0,0,0.021
ER105,"Semangka, segar",E,R,92.1,28,0.5,0.2,6.9,0.4,0.007,0.012,0.0002,0.007,0.0938,0,0.0001,0.0001,0.006
ER106,"Sirsak, segar",E,R,81.7,65,1,0.3,16.3,3.2,0.014,0.027,0.0006,0.002,0.2989,0.0001,0.0001,0.0001,0.02
ER107,"Sowa, segar",E,R,87.7,48,1.6,0.6,9.1,45,0.05,0.04,0.0003,0.009,0,0.0001,0.0002,0.0002,0.004
ER108,"Srikaya, segar",E,R,83.4,63,1.1,0.5,13.9,2.1,0.127,0.03,0.0027,0,0,0,0.0001,0,0.028
ER109,"Sukun muda, segar",E,R,69.4,119,1.4,0.2,28.1,1.4,0.024,0.044,0.0014,0.024,0.4144,0.0001,0.0002,0.0002,0.052
ER110,"Sukun tua, segar",E,R,67.8,126,1.6,0.2,24.5,1.5,0.037,0.047,0.0016,0.025,0.436,0.0001,0.0002,0.0002,0.058
ER111,"Vigus, segar",E,R,88,44,2.4,0.1,8.3,0,0.03,0.02,0.0003,0.002,0.18,0.0001,0.0003,0,0.043
ER112,"Wani, segar",E,R,81.2,74,0.8,0.3,17.1,3.1,0.066,0.029,0.0012,0,0,0,0.0001,0,0.08
EP001,Barongko,E,P,66.7,159,3.1,5.8,23.5,0,0.035,0.065,0.0012,0.046,0.078,0.0003,0,0,0
EP002,Dodol nanas,E,P,16.1,338,1.5,1.2,80.3,0,0,0,0,0,0,0,0.0003,0,0.008
EP003,Getuk pisang,E,P,63.7,144,1.1,0.4,34.1,0.4,0.048,0.032,0.001,0,0,0,0.0006,0,0
EP004,Keripik lampung,E,P,5,485,1.7,22,69.7,0.6,0.043,0.065,0.0008,0,0,0,0.0003,0,0
EP005,Ledre pisang,E,P,3.6,405,4.8,5.1,84.9,0.4,0.059,0.124,0.0026,0,0,0,0.0004,0,0
EP006,Lempog durian,E,P,25.2,320,3.5,5.7,63.7,4.9,0.19,0.093,0.0025,0,0,0,0.0001,0,0
EP007,Loka anjoro,E,P,63.3,163,1.1,4.3,30,0,0,0,0,0,0,0,0,0,0
EP008,Rica-rica taipa,E,P,86.7,49,1.6,0.3,10,0,0.011,0.048,0.003,0.426,0.042,0.0005,0.0002,0,0.015
EP009,Rujak aceh,E,P,78.7,82,0.4,0.3,19.7,2.4,0,0,0,0,0,0,0.0002,0,0.042
EP010,Sale kesemek,E,P,25,296,1.1,0.6,71.4,0,0,0,0,0,0,0,0,0,0.003
EP011,Sale pisang siam,E,P,28.9,281,2.4,0.7,66.1,1,0.041,0.064,0.0012,0,0,0,0.0001,0,0
EP012,"Sale pisang, cilacap",E,P,27.1,295,2.3,2.1,66.9,1.3,0.047,0.097,0.0028,0,0,0,0.0001,0,0
EP013,Sanggara belanda,E,P,47.1,242,6.4,7.1,38.2,0,0,0,0,0,0,0,0,0,0
EP014,Tepung Pisang,E,P,13.8,338,2.9,0.4,80.6,5.3,0.023,0.062,0.004,0.018,0.734,0.0001,0,0,0.002
EP015,Tepung Sukun,E,P,10.1,353,2.9,0.5,84.4,3.7,0.1,0.085,0.0046,0.009,2.008,0.0001,0.0004,0,0.003
FR001,"Anak sapi, daging, gemuk, segar",F,R,62,184,18.8,14,0,0,0.01,0.2,0.0022,0.118,0.4901,0.0002,0.0001,0.0002,0
FR002,"Anak sapi, daging, kurus, segar",F,R,69,174,19.6,10,0,0,0.011,0.201,0.0029,0.096,0.3998,0.0001,0.0001,0.0001,0
FR003,"Anak sapi, daging, sedang, segar",F,R,68,190,19.1,12,0,0,0.011,0.193,0.0029,0.099,0.4127,0.0001,0.0001,0.0002,0
FR004,"Angsa, daging, segar",F,R,51.1,349,16.4,31.5,0,0,0.015,0.188,0.0018,0.071,0.2992,0.0003,0.0001,0.0002,0
FR005,"Ayam, daging, segar",F,R,55.9,298,18.2,25,0,0,0.014,0.2,0.0015,0.109,0.3859,0.0001,0.0001,0.0001,0
FR006,"Ayam, dideh/darah, segar",F,R,82,75,13.8,1.9,0.7,0,0.015,0.009,0.0013,0.337,0.234,0,0,0,0
FR007,"Ayam, hati, segar",F,R,53.4,261,27.4,16.1,1.6,0,0.118,0.373,0.0158,1.068,0.0229,0.0008,0.0006,0.0044,0
FR008,"Babi, daging, gemuk,segar",F,R,42,453,11.9,45,0,0,0.007,0.117,0.0018,0.112,0.8193,0.0002,0.0006,0.0006,0
FR009,"Babi, daging, kurus, segar",F,R,50,371,14.1,35,0,0,0.008,0.151,0.0021,0.097,0.7063,0.0002,0.0007,0.0003,0
FR010,"Babi, ginjal, segar",F,R,77.1,110,16.3,4.6,0.8,0,0.011,0.246,0.008,0.139,0.39,0.0007,0.0006,0.0016,0.013
FR011,"Babi, hati, segar",F,R,72.3,129,19.7,4.8,1.7,0,0.01,0.362,0.018,0.11,0.447,0.0006,0.0004,0.0012,0.023
FR012,"Bebek (itik), daging, segar",F,R,54.3,321,16,28.6,0,0,0.015,0.188,0.0018,0.054,0.199,0.0002,0.0001,0.0003,0
FR013,"Bebek alabio, daging, segar",F,R,57,303,11.3,27,3.7,0,0.02,0.293,0.0048,0.05,0.26,0.0007,0.0004,0,0
FR014,"Belibis, daging, segar",F,R,71.3,131,20.2,4.3,2.8,0,0.008,0.192,0.0096,0.046,0.104,0.0012,0.0004,0.0001,0
FR015,"Burung, sarang, segar",F,R,24.8,281,37.5,0.3,32.1,0,0.485,0.018,0.003,0,0,0,0,0,0
FR016,"Domba, daging, gemuk segar",F,R,55.8,317,15.7,27.7,0,0,0.009,0.157,0.0024,0.064,0.2421,0.0001,0.0001,0.0002,0
